Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Jonathan Melee,NO,23,,2004.0,6.00,184,LW,Peterborough Petes,44,18,7,25,0.57,-17,4,4,0,1,37,8,32.0,-7.5
Caden Taylor,NO,19,,2007.0,6.03,185,LW,Peterborough Petes,46,12,11,23,0.5,-24,4,4,1,0,30,8,34.8,-13.5
Aiden Young,NO,26,,2007.0,5.10,180,C,Peterborough Petes,43,11,12,23,0.53,-3,4,6,1,0,22,10,43.5,15.0
Colin Fitzgerald,YES,27,,2008.0,6.02,195,C,Peterborough Petes,40,10,13,23,0.58,-15,4,6,0,0,43,10,43.5,-18.5
Carson Cameron,NO,15,,2007.0,6.02,193,D,Peterborough Petes,43,7,13,20,0.47,-18,2,8,1,0,16,10,50.0,-0.5
Martin Matejicek,NO,5,,2005.0,6.02,205,D,Peterborough Petes,46,7,13,20,0.43,-7,1,3,2,0,22,4,20.0,4.5
Gavin Bryant,NO,13,,2004.0,5.11,188,C,Peterborough Petes,32,8,11,19,0.59,-2,2,2,3,0,22,4,21.1,8.5
Braydon McCallum,NO,29,,2006.0,5.10,185,RW,Peterborough Petes,37,5,14,19,0.51,-18,1,7,0,2,83,8,42.1,-70.0
Brady Stonehouse,NO,16,,2004.0,5.10,194,RW,Peterborough Petes,26,7,7,14,0.54,-2,2,4,1,0,22,6,42.9,0.5
Quinton Pagé,NO,14,,2005.0,5.07,172,LW,Peterborough Petes,38,6,8,14,0.37,-6,2,3,0,0,31,5,35.7,-13.0
Brennan Faulkner,NO,28,,2005.0,5.11,176,LW,Peterborough Petes,43,3,11,14,0.33,3,0,0,0,0,28,0,0.0,-2.5
Nico Addy,NO,22,,2007.0,6.04,207,RW,Peterborough Petes,40,5,8,13,0.33,-16,1,0,2,0,43,1,7.7,-37.0
Liam Ladds,NO,8,,2007.0,6.02,175,D,Peterborough Petes,44,2,10,12,0.27,-7,0,0,0,0,47,0,0.0,-35.0
Francis Parish,YES,18,,2007.0,5.08,160,RW,Peterborough Petes,38,3,7,10,0.26,-6,0,0,0,0,26,0,0.0,-15.5
Adam Levac,YES,10,,2008.0,5.10,166,C,Peterborough Petes,38,3,4,7,0.18,-10,0,0,0,0,12,0,0.0,-10.0
Grayden Strohack,NO,6,,2006.0,6.04,198,D,Peterborough Petes,40,1,6,7,0.18,-7,0,0,0,0,64,0,0.0,-60.0
Brody Partridge,NO,11,,2006.0,5.11,193,C,Peterborough Petes,36,3,3,6,0.17,-9,0,0,0,0,6,0,0.0,-4.5
Blake Gowan,YES,9,,2008.0,6.01,185,D,Peterborough Petes,28,1,5,6,0.21,-10,0,0,0,0,11,0,0.0,-11.5
Matthew Jenken,NO,12,,2005.0,6.04,202,D,Peterborough Petes,27,0,6,6,0.22,-11,0,1,0,0,8,1,16.7,-10.0
Genc Ula,YES,7,,2008.0,6.00,195,D,Peterborough Petes,37,2,3,5,0.14,-6,0,0,0,0,8,0,0.0,-5.5
Rio Kaiser,NO,17,,2006.0,6.07,220,D,Peterborough Petes,10,0,2,2,0.2,-5,0,0,0,0,21,0,0.0,-23.0
Thanasi Marentette,YES,3,,2007.0,6.00,205,D,Peterborough Petes,18,0,1,1,0.06,-5,0,0,0,0,8,0,0.0,-11.5
